ingreso_mensual,gastos_mensuales,antiguedad_laboral_meses,label
2122885,1720631,60,1
4773286,3185853,90,1
3767172,4036897,68,0
3153829,1498645,10,1
1117686,860937,22,1
1117575,961302,26,0
667185,640799,31,0
4384410,2742785,68,1
3165129,2688896,60,1
3657134,1984219,24,2
494689,320747,8,1
4861585,4941810,21,0
4229236,4482678,118,0
1376760,1204739,56,0
1236395,741196,104,2
1243661,1188997,102,0
1799514,577093,61,2
2813880,1075456,85,2
2386947,1979015,23,1
1739654,927234,83,2
3214523,3410960,33,0
1041672,675887,100,1
1743865,1122163,10,1
2085264,1756759,93,1
2497922,2283238,12,0
4011809,2729824,106,1
1318499,621278,37,2
2765478,2540498,79,0
3125107,1738438,59,2
613672,270070,44,2
3194706,2572736,77,1
1184411,441031,114,2
699237,753136,5,0
4764873,3840096,110,1
4841907,5271464,73,0
4118628,2352209,97,2
1801223,1939853,46,0
849292,353687,57,2
3547472,1179732,104,2
2424701,791392,50,2
961376,645945,64,1
2677814,981160,2,1
558187,396165,19,1
4582874,2575577,77,2
1590388,904141,86,2
3447603,2787342,70,1
1833871,789442,17,2
2792313,2550059,53,0
2914867,2231694,43,1
1250330,1290286,59,0
4860089,2876553,104,2
3965611,4307336,93,0
4721695,3591615,10,1
4516206,4871729,107,0
3150340,1013302,57,2
4640621,4094796,89,0
807066,769373,17,0
1301521,445821,80,2
608046,464046,28,0
1896520,1785675,53,0
2187916,1638379,2,1
1648206,578604,18,2
4212193,3600404,11,0
2041065,711265,29,2
1692299,1614411,12,0
2896402,968636,83,2
1048251,429697,3,1
4090106,2127207,74,2
742933,599318,17,0
4939680,5340225,113,0
3952326,1558237,112,2
1314092,544252,27,2
425402,253155,74,2
4151123,4022335,3,0
3651544,2460355,112,1
3753433,2091745,63,2
3947844,2956789,5,1
740605,376538,41,2
2048942,1272246,9,1
932998,528155,47,2
4370276,4122537,80,0
3267171,3395913,56,0
1922131,1744637,46,0
692368,450917,14,1
1830519,1287711,29,1
1895843,758449,12,2
3756188,3371148,97,0
3332764,2590160,16,1
4481179,4579549,71,0
2572189,1184464,41,2
950134,862513,27,0
3680926,3120458,77,1
3899611,1999239,55,2
2981875,2486594,48,1
3946449,4102329,71,0
2671460,2764290,59,0
2804571,2455966,36,0
2366689,801026,67,2
516928,515797,80,0
896301,740544,3,1
544574,298616,56,2
3327488,1496705,7,1
1846038,725425,22,2
2739425,931924,67,2
4574806,4132342,104,0
1546744,755854,106,2
2287761,730716,8,1
3875535,2394370,50,1
1452472,996520,70,1
754108,328327,18,2
1732857,580921,92,2
1141618,515213,89,2
4676609,3943701,108,1
4117354,1506107,1,1
3313657,2465459,26,1
4408719,1839007,99,2
4096892,1870441,80,2
1258222,773130,107,1
4505771,1715168,7,1
2880974,1263488,72,2
4114225,2382802,68,2
4522020,2549222,4,1
1862816,1675449,62,0
906239,326088,73,2
1448502,1431642,23,0
2364696,2253521,33,0
4162868,3799838,77,0
4359361,2386741,56,2
431980,413969,103,0
2749438,1226914,41,2
2320091,926940,32,2
1421696,477640,118,2
951381,1000328,109,0
1953030,1067153,3,1
4737385,4898902,92,0
1886733,977499,13,2
